Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of autophagy (GO:0010507)	2/26	0.008873304625951714	0.30430206339412397	-2.4817165773885814	2.9525836856968586	NRBP2;BCL2L1
aging (GO:0007568)	5/204	0.004223922183896774	0.2780371765062364	-2.300495805212597	2.944635656216249	GSN;CNP;APOD;CRYAB;LITAF
regulation of lipase activity (GO:0060191)	4/122	0.003878584338594133	0.27502390920312436	-2.233150701263806	2.882768082433326	FKBP1A;LPAR1;PRKACB;FGFR2
negative regulation of transport (GO:0051051)	6/361	0.010894074622424605	0.30430206339412397	-2.376580120925566	2.8274992224051942	FKBP1A;IL33;WNK1;APOD;CRYAB;LITAF
negative regulation of phosphate metabolic process (GO:0045936)	7/458	0.009310147883415294	0.30430206339412397	-2.3764501920387033	2.827344641533572	FKBP1A;MYO1D;DBNDD2;DUSP3;WNK1;PLXNB3;LDLRAD4
negative regulation of phosphorus metabolic process (GO:0010563)	7/458	0.009310147883415294	0.30430206339412397	-2.373870589380777	2.8242755994065347	FKBP1A;MYO1D;DBNDD2;DUSP3;WNK1;PLXNB3;LDLRAD4
gamma-aminobutyric acid signaling pathway (GO:0007214)	2/24	0.007679340245221807	0.30430206339412397	-2.369648465960173	2.8192523937575666	SLC12A2;CACNB4
regulation of mitochondrial membrane permeability (GO:0046902)	2/29	0.01080886551924873	0.30430206339412397	-2.3662155115713004	2.815168089685668	CNP;BCL2L1
glycerolipid catabolic process (GO:0046503)	2/28	0.010144672386786513	0.30430206339412397	-2.3636988441474727	2.8121739237742096	ENPP2;PRKACB
response to inorganic substance (GO:0010035)	6/370	0.012169822175417157	0.30493441224441475	-2.358427434362933	2.8010065478263155	QDPR;GATM;GSN;PLEKHA1;CRYAB;NDRG1
negative regulation of phosphatase activity (GO:0010923)	3/65	0.005008074354476522	0.28916185838020964	-2.2188935877949536	2.7531336769696635	FKBP1A;MYO1D;WNK1
cell part morphogenesis (GO:0032990)	5/248	0.009326277649528621	0.30430206339412397	-2.310461459138178	2.748835573263206	GSN;DST;CNP;FGFR2;BCL2L1
regulation of membrane permeability (GO:0090559)	2/30	0.0114917921850565	0.30430206339412397	-2.302897980229155	2.7398370419089964	CNP;BCL2L1
inositol lipid-mediated signaling (GO:0048017)	4/136	0.005632394081745184	0.2991927736223042	-2.2653287567364058	2.7334978751354706	GSN;PLEKHA1;GAB1;FGFR2
phosphatidylinositol-mediated signaling (GO:0048015)	4/136	0.005632394081745184	0.2991927736223042	-2.2626992730749946	2.7303249634864235	GSN;PLEKHA1;GAB1;FGFR2
synaptic transmission (GO:0007268)	7/434	0.007055672714434474	0.30430206339412397	-2.287474126600699	2.72148675202945	CACNB4;CNP;KCNA1;PLP1;MBP;PRKACB;GNAI1
neural nucleus development (GO:0048857)	3/63	0.004606037562603313	0.2780371765062364	-2.1123553052617488	2.7038157324075107	CNP;PLP1;MBP
negative regulation of smoothened signaling pathway (GO:0045879)	2/28	0.010144672386786513	0.30430206339412397	-2.257799925299358	2.6861823327227867	HHIP;PRKACB
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	2/29	0.01080886551924873	0.30430206339412397	-2.2454493802555406	2.6714884639151686	HHIP;FGFR2
regulation of smoothened signaling pathway (GO:0008589)	3/63	0.004606037562603313	0.2780371765062364	-2.077230542543652	2.658856020469986	HHIP;PRKACB;FGFR2
negative regulation of dephosphorylation (GO:0035305)	3/70	0.0061037236708841825	0.30430206339412397	-2.2343448580848593	2.658277031434384	FKBP1A;MYO1D;WNK1
regulation of sterol transport (GO:0032371)	2/34	0.014406806003915744	0.3267591077106402	-2.3366169332580995	2.613580935969243	ABCA2;ABCG1
glucose metabolic process (GO:0006006)	4/149	0.007675862459993449	0.30430206339412397	-2.1921712132186437	2.60810159362134	APOD;ALDOA;PRKACB;CRYAB
regulation of cholesterol transport (GO:0032374)	2/34	0.014406806003915744	0.3267591077106402	-2.3263185618589914	2.602061877463273	ABCA2;ABCG1
myeloid cell development (GO:0061515)	2/32	0.012913037437964757	0.31756506884476293	-2.2667571308973464	2.600134860616464	TSPAN2;BPGM
negative regulation of cell migration (GO:0030336)	4/166	0.011013412314720316	0.30430206339412397	-2.1816103152269353	2.5955369295494104	IL33;PLXNB3;APOD;LDLRAD4
negative regulation of cell motility (GO:2000146)	4/170	0.01191544224133618	0.30430206339412397	-2.1743603893490584	2.586911443035533	IL33;PLXNB3;APOD;LDLRAD4
multicellular organism growth (GO:0035264)	3/79	0.00841277767573227	0.30430206339412397	-2.170921231444268	2.5828197584270898	SLC12A2;PLEKHA1;FGFR2
adult locomotory behavior (GO:0008344)	3/88	0.011171745201098595	0.30430206339412397	-2.1543331821695157	2.5630843848907183	CACNB4;EFNB3;CNP
morphogenesis of a branching structure (GO:0001763)	4/170	0.01191544224133618	0.30430206339412397	-2.1489896608006718	2.556727013480312	SLC12A2;HHIP;ERMN;FGFR2
positive regulation of phospholipase activity (GO:0010518)	3/80	0.008696792761075036	0.30430206339412397	-2.1477420234561104	2.555242656361219	LPAR1;PRKACB;FGFR2
positive regulation of lipase activity (GO:0060193)	3/90	0.01184755966863561	0.30430206339412397	-2.1367280750525435	2.5421389826106497	LPAR1;PRKACB;FGFR2
regulation of phospholipase activity (GO:0010517)	3/89	0.011506771374579576	0.30430206339412397	-2.1275214245927363	2.5311855134694863	LPAR1;PRKACB;FGFR2
regulation of cell projection organization (GO:0031344)	6/391	0.015551468752121324	0.3267591077106402	-2.2590218462461804	2.5267883439732377	PPP1R16B;PTPRD;LPAR1;PLXNB3;MBP;ERMN
regulation of autophagy (GO:0010506)	3/89	0.011506771374579576	0.30430206339412397	-2.055687757893271	2.4457225261513265	VMP1;NRBP2;BCL2L1
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	2/38	0.01760562479817857	0.3267591077106402	-2.1828743381181592	2.4416149153584517	FKBP1A;FGFR2
hexose metabolic process (GO:0019318)	4/187	0.01627473168283022	0.3267591077106402	-2.1695709112448265	2.426734605982827	APOD;ALDOA;PRKACB;CRYAB
neuromuscular junction development (GO:0007528)	2/34	0.014406806003915744	0.3267591077106402	-2.1623194823625522	2.4186236503462855	CACNB4;FGFR2
negative regulation of cellular component movement (GO:0051271)	4/183	0.015170715861073415	0.3267591077106402	-2.1589518395041307	2.41485683386531	IL33;PLXNB3;APOD;LDLRAD4
cell projection morphogenesis (GO:0048858)	4/228	0.030535263801489028	0.3267591077106402	-2.1542672130927167	2.4096169290667353	GSN;DST;CNP;FGFR2
negative regulation of hydrolase activity (GO:0051346)	5/354	0.03600415826260638	0.3267591077106402	-2.1533118354629273	2.408548308564877	FKBP1A;MYO1D;WNK1;PLXNB3;CRYAB
response to metal ion (GO:0010038)	4/255	0.04298861036524396	0.3267591077106402	-2.1445528852394666	2.39875114198729	QDPR;GATM;GSN;NDRG1
lipid transport (GO:0006869)	4/193	0.018023563970283745	0.3267591077106402	-2.137063434766817	2.3903739515725526	ATP8A1;APOD;OSBPL1A;ABCG1
single-organism behavior (GO:0044708)	5/362	0.03900259294424184	0.3267591077106402	-2.133475025865315	2.3863602011961267	SLC24A2;CACNB4;EFNB3;CNP;SGK1
microtubule cytoskeleton organization (GO:0000226)	4/245	0.03808672108442222	0.3267591077106402	-2.132853117030095	2.385664576229746	DST;CNP;CDC42BPA;CRYAB
behavior (GO:0007610)	6/494	0.041701480439825814	0.3267591077106402	-2.127955388146569	2.3801863094854916	SLC24A2;CACNB4;EFNB3;CNP;PTGDS;SGK1
cellular protein complex assembly (GO:0043623)	4/256	0.043497592446385035	0.3267591077106402	-2.127456989816845	2.3796288349784187	FKBP1A;GSN;CRYAB;TUBB4A
regulation of intracellular transport (GO:0032386)	5/394	0.052501050954617295	0.3267591077106402	-2.127116571719804	2.379248066425379	FKBP1A;ABCA2;APOD;CRYAB;LITAF
monosaccharide metabolic process (GO:0005996)	4/221	0.02770970545463474	0.3267591077106402	-2.1255364061676896	2.3774806006059293	APOD;ALDOA;PRKACB;CRYAB
negative regulation of locomotion (GO:0040013)	4/204	0.021525133386866836	0.3267591077106402	-2.1230906503853757	2.3747449443690383	IL33;PLXNB3;APOD;LDLRAD4
negative regulation of protein transport (GO:0051224)	3/122	0.025861569704504796	0.3267591077106402	-2.117193288342292	2.368148555894347	IL33;APOD;LITAF
regeneration (GO:0031099)	3/97	0.014395687903167075	0.3267591077106402	-2.112334735347129	2.3627141086369408	GATM;GSN;APOD
regulation of phosphatase activity (GO:0010921)	3/102	0.016391663363390194	0.3267591077106402	-2.112332381120413	2.362711475358898	FKBP1A;MYO1D;WNK1
regulation of dephosphorylation (GO:0035303)	3/126	0.028042022518417226	0.3267591077106402	-2.109148091053228	2.3591497448519694	FKBP1A;MYO1D;WNK1
adult walking behavior (GO:0007628)	2/38	0.01760562479817857	0.3267591077106402	-2.100252948910339	2.349200243247111	CACNB4;EFNB3
negative regulation of protein phosphorylation (GO:0001933)	4/260	0.04556769175414297	0.3267591077106402	-2.096176570540486	2.3446406833793367	DBNDD2;DUSP3;WNK1;LDLRAD4
cellular response to peptide hormone stimulus (GO:0071375)	4/261	0.04609375681510706	0.3267591077106402	-2.0932687102238523	2.3413881484088663	RAB31;GAB1;PRKACB;FGFR2
positive regulation of dendrite development (GO:1900006)	2/39	0.018448219664072354	0.3267591077106402	-2.087005606063504	2.3343826656527984	PTPRD;LPAR1
negative regulation of cell projection organization (GO:0031345)	3/106	0.018094934519128206	0.3267591077106402	-2.0784988441477674	2.3248675797808507	LPAR1;PLXNB3;MBP
axonogenesis (GO:0007409)	3/109	0.01943480465048103	0.3267591077106402	-2.0762415503721416	2.3223427243392565	DST;CNP;FGFR2
gluconeogenesis (GO:0006094)	2/46	0.024805687121467503	0.3267591077106402	-2.0655019913673276	2.3103301833548167	ALDOA;PRKACB
negative regulation of cellular catabolic process (GO:0031330)	3/145	0.03969249279833891	0.3267591077106402	-2.049018587764436	2.2918929680786553	NRBP2;PLXNB3;BCL2L1
response to gamma radiation (GO:0010332)	2/44	0.02290909460038281	0.3267591077106402	-2.0387978904422654	2.280460790517445	CRYAB;BCL2L1
response to reactive oxygen species (GO:0000302)	3/141	0.03706365121407823	0.3267591077106402	-2.0373409695775284	2.278831177831217	PLEKHA1;APOD;CRYAB
adult behavior (GO:0030534)	3/141	0.03706365121407823	0.3267591077106402	-2.027916859668172	2.2682900088244393	CACNB4;EFNB3;CNP
glycolytic process (GO:0006096)	2/44	0.02290909460038281	0.3267591077106402	-2.0249677690541987	2.2649913564448303	BPGM;ALDOA
phospholipid transport (GO:0015914)	2/48	0.026764246058141174	0.3267591077106402	-2.0189162576145807	2.258222546929129	ATP8A1;ABCG1
GTP catabolic process (GO:0006184)	4/243	0.03714731470411305	0.3267591077106402	-2.018585293952759	2.2578523534649273	RAB31;SEPT4;TUBB4A;GNAI1
cellular response to peptide (GO:1901653)	4/273	0.052672511525981666	0.3267591077106402	-2.016959180273914	2.2560334931929433	RAB31;GAB1;PRKACB;FGFR2
guanosine-containing compound catabolic process (GO:1901069)	4/246	0.03856154141049917	0.3267591077106402	-2.014943759590434	2.253779180557728	RAB31;SEPT4;TUBB4A;GNAI1
cellular response to ionizing radiation (GO:0071479)	2/45	0.023849555593235417	0.3267591077106402	-2.010775203122913	2.2491165165331064	CRYAB;BCL2L1
actin filament organization (GO:0007015)	3/150	0.04310876244617442	0.3267591077106402	-2.0071288021813602	2.2450379002010514	GSN;ALDOA;ERMN
GTP metabolic process (GO:0046039)	4/258	0.04452580870988969	0.3267591077106402	-2.0034351393097536	2.240906419885334	RAB31;SEPT4;TUBB4A;GNAI1
regulation of cellular response to stress (GO:0080135)	5/404	0.05721827996385163	0.3267591077106402	-2.0007639312168903	2.237918588012619	NRBP2;GPR37;DUSP3;GAB1;BCL2L1
regulation of calcium ion transmembrane transport (GO:1903169)	2/48	0.026764246058141174	0.3267591077106402	-2.0004611853465337	2.237579957052642	FKBP1A;CACNB4
cellular response to organonitrogen compound (GO:0071417)	5/411	0.06066230530561107	0.3267591077106402	-1.9982108912891297	2.2350629310202423	RAB31;GAB1;PRKACB;FGFR2;BCL2L1
regulation of calcium ion transmembrane transporter activity (GO:1901019)	2/48	0.026764246058141174	0.3267591077106402	-1.9961852084494445	2.2327971398343767	FKBP1A;CACNB4
skeletal system morphogenesis (GO:0048705)	3/106	0.018094934519128206	0.3267591077106402	-1.9941103196632306	2.2304763102201086	PLEKHA1;HHIP;FGFR2
adenylate cyclase-modulating G-protein coupled receptor signaling pathway (GO:0007188)	3/122	0.025861569704504796	0.3267591077106402	-1.993746433477312	2.2300692918574314	GPR37;PRKACB;GNAI1
negative regulation of protein import into nucleus (GO:0042308)	2/53	0.03192249588088212	0.3267591077106402	-1.990512547683929	2.226452086941047	APOD;LITAF
neurotrophin TRK receptor signaling pathway (GO:0048011)	4/274	0.05324285513095853	0.3267591077106402	-1.990499317707854	2.226437288788744	DUSP3;GAB1;PRKACB;FGFR2
regulation of transporter activity (GO:0032409)	3/153	0.045227363277783386	0.3267591077106402	-1.9848096533116713	2.220073216789492	FKBP1A;CACNB4;SGK1
sodium ion transport (GO:0006814)	3/141	0.03706365121407823	0.3267591077106402	-1.984379258938289	2.2195918068873337	SLC24A2;SLC12A2;SGK1
stem cell proliferation (GO:0072089)	2/48	0.026764246058141174	0.3267591077106402	-1.9786601565796778	2.2131948075835237	HHIP;FGFR2
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	2/48	0.026764246058141174	0.3267591077106402	-1.9717689113359147	2.2054867288917057	SEPT4;BCL2L1
central nervous system development (GO:0007417)	3/108	0.018982225912211305	0.3267591077106402	-1.9704871821718355	2.204053073738123	MOG;MAL;MBP
calcium ion transmembrane transport (GO:0070588)	3/128	0.029167980033474223	0.3267591077106402	-1.967551778865547	2.2007697310508822	FKBP1A;SLC24A2;CACNB4
neuron projection development (GO:0031175)	3/137	0.03452819709076803	0.3267591077106402	-1.9623439818969113	2.194944643214749	PLP1;TSPAN2;APOD
cell division (GO:0051301)	3/131	0.030901469756634194	0.3267591077106402	-1.9605456578654705	2.1929331601434887	SEPT4;GNAI1;FGFR2
embryo development (GO:0009790)	4/276	0.05439371638640812	0.3267591077106402	-1.9525975481823987	2.184042944700385	GATM;DUSP3;FGFR2;BCL2L1
neurotrophin signaling pathway (GO:0038179)	4/278	0.05555812514277139	0.3267591077106402	-1.944622440639657	2.1751225312858717	DUSP3;GAB1;PRKACB;FGFR2
forebrain development (GO:0030900)	2/53	0.03192249588088212	0.3267591077106402	-1.9318111713512116	2.1607927159441838	CNP;PCDH9
negative regulation of protein localization to nucleus (GO:1900181)	2/59	0.0385816960323427	0.3267591077106402	-1.92387813493486	2.1519193604330535	APOD;LITAF
hexose biosynthetic process (GO:0019319)	2/50	0.028783353666200724	0.3267591077106402	-1.9156341738363791	2.142698225698821	ALDOA;PRKACB
fibroblast growth factor receptor signaling pathway (GO:0008543)	3/163	0.05265661763079357	0.3267591077106402	-1.9044039269405044	2.130136834580098	GAB1;PRKACB;FGFR2
regulation of cell morphogenesis (GO:0022604)	5/408	0.059171981177576154	0.3267591077106402	-1.9016303043726162	2.127034448834353	PTPRD;MBP;LDLRAD4;ALDOA;ERMN
guanosine-containing compound metabolic process (GO:1901068)	4/269	0.05042510680239466	0.3267591077106402	-1.8995782538654975	2.124739164567294	RAB31;SEPT4;TUBB4A;GNAI1
cardiac muscle tissue morphogenesis (GO:0055008)	2/50	0.028783353666200724	0.3267591077106402	-1.8925436754943612	2.1168707631782193	FKBP1A;FGFR2
'de novo' protein folding (GO:0006458)	2/54	0.032997652191532084	0.3267591077106402	-1.88961600558442	2.113596070542673	FKBP1A;TUBB4A
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	3/153	0.045227363277783386	0.3267591077106402	-1.889476840169229	2.1134404095650807	GPR37;PRKACB;GNAI1
potassium ion transport (GO:0006813)	3/151	0.043809253180615446	0.3267591077106402	-1.8881774465711747	2.111986996175895	SLC24A2;SLC12A2;KCNA1
negative regulation of nucleocytoplasmic transport (GO:0046823)	2/62	0.04209282794085535	0.3267591077106402	-1.8877623219915312	2.11152266602748	APOD;LITAF
mitochondrial membrane organization (GO:0007006)	2/51	0.029815176120480655	0.3267591077106402	-1.8870369803939673	2.1107113482010638	CNP;BCL2L1
positive regulation of apoptotic signaling pathway (GO:2001235)	3/168	0.0565795050981614	0.3267591077106402	-1.8805526705656463	2.1034584398150122	MAL;SEPT4;BCL2L1
protein polymerization (GO:0051258)	2/64	0.044497867844528714	0.3267591077106402	-1.8531110225847403	2.072764076954914	GSN;TUBB4A
response to nutrient (GO:0007584)	3/163	0.05265661763079357	0.3267591077106402	-1.8530097828884917	2.0726508371096006	GATM;GSN;ADIPOR2
monosaccharide biosynthetic process (GO:0046364)	2/56	0.035190115051630375	0.3267591077106402	-1.8520587196175844	2.0715870423564406	ALDOA;PRKACB
response to glucagon (GO:0033762)	2/49	0.027766319035906768	0.3267591077106402	-1.8510097725191874	2.0704137614047413	QDPR;PRKACB
activation of phospholipase C activity (GO:0007202)	2/59	0.0385816960323427	0.3267591077106402	-1.8467822640914682	2.065685157723037	LPAR1;PRKACB
morphogenesis of a branching epithelium (GO:0061138)	3/162	0.05188854904399508	0.3267591077106402	-1.8321282159402188	2.0492941351562886	SLC12A2;HHIP;FGFR2
glial cell differentiation (GO:0010001)	2/61	0.04090943524789594	0.3267591077106402	-1.8283732614731536	2.0450940982264565	CNP;TSPAN2
muscle tissue morphogenesis (GO:0060415)	2/56	0.035190115051630375	0.3267591077106402	-1.8236042701465323	2.0397598285660545	FKBP1A;FGFR2
negative regulation of cell cycle (GO:0045786)	5/430	0.07059847577162275	0.3267591077106402	-1.815392643189498	2.030574860605444	PLA2G16;DST;PRKACB;FGFR2;BCL2L1
cellular response to nitrogen compound (GO:1901699)	5/438	0.07503797977607729	0.3267591077106402	-1.8076004898402616	2.0218590873206392	RAB31;GAB1;PRKACB;FGFR2;BCL2L1
regulation of chemokine production (GO:0032642)	2/56	0.035190115051630375	0.3267591077106402	-1.80513876476246	2.019105568914878	IL33;APOD
cholesterol homeostasis (GO:0042632)	2/61	0.04090943524789594	0.3267591077106402	-1.8018278684385003	2.015402225251608	ABCA2;ABCG1
sterol homeostasis (GO:0055092)	2/62	0.04209282794085535	0.3267591077106402	-1.7944003186515978	2.0070942727379952	ABCA2;ABCG1
regulation of cation channel activity (GO:2001257)	2/62	0.04209282794085535	0.3267591077106402	-1.7868578516827651	1.9986577816729274	FKBP1A;CACNB4
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	3/168	0.0565795050981614	0.3267591077106402	-1.7862984266080795	1.9980320467955108	FKBP1A;LPAR1;LITAF
regulation of cellular response to growth factor stimulus (GO:0090287)	3/176	0.06313783781200019	0.3267591077106402	-1.766622695445732	1.976024110819688	HHIP;LDLRAD4;FGFR2
positive regulation of phospholipase C activity (GO:0010863)	2/67	0.04819872602954792	0.3267591077106402	-1.765403165231717	1.97466002718543	LPAR1;PRKACB
cyclic nucleotide metabolic process (GO:0009187)	2/58	0.037437669902099964	0.3267591077106402	-1.764328619226275	1.9734581130356728	CACNB4;CNP
mitochondrion organization (GO:0007005)	3/179	0.06568490697058245	0.3267591077106402	-1.758192286555688	1.9665944282543386	CNP;SEPT4;BCL2L1
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway (GO:0007193)	2/62	0.04209282794085535	0.3267591077106402	-1.7557227044816055	1.963832121546395	GPR37;GNAI1
microtubule-based process (GO:0007017)	5/437	0.07447479646296958	0.3267591077106402	-1.7285570009877305	1.9334464114399526	DST;CNP;CDC42BPA;CRYAB;TUBB4A
neuron projection morphogenesis (GO:0048812)	3/175	0.06229935146392173	0.3267591077106402	-1.72427816773791	1.928660399299602	DST;CNP;FGFR2
phosphatidylcholine metabolic process (GO:0046470)	2/62	0.04209282794085535	0.3267591077106402	-1.7228363739112533	1.9270477066903373	PLA2G16;ENPP2
cellular response to fibroblast growth factor stimulus (GO:0044344)	3/183	0.06915398471346051	0.3267591077106402	-1.713564264483795	1.9166765550946687	GAB1;PRKACB;FGFR2
detection of external stimulus (GO:0009581)	3/175	0.06229935146392173	0.3267591077106402	-1.7110873728684657	1.9139060724305463	SLC12A2;CACNB4;PLEKHB1
cellular component morphogenesis (GO:0032989)	5/437	0.07447479646296958	0.3267591077106402	-1.7053656017051035	1.9075060879830785	GSN;DST;CNP;FGFR2;BCL2L1
response to fibroblast growth factor (GO:0071774)	3/187	0.07270522952699145	0.3267591077106402	-1.7034769410241237	1.9053935604737273	GAB1;PRKACB;FGFR2
regulation of phospholipase C activity (GO:1900274)	2/69	0.05072637364721397	0.3267591077106402	-1.6925613585817547	1.8931841316322626	LPAR1;PRKACB
locomotory behavior (GO:0007626)	3/183	0.06915398471346051	0.3267591077106402	-1.69005588315693	1.8903816770610158	CACNB4;EFNB3;CNP
detection of abiotic stimulus (GO:0009582)	3/178	0.06483063598641395	0.3267591077106402	-1.6722169052658435	1.870428208492974	SLC12A2;CACNB4;PLEKHB1
brain development (GO:0007420)	3/187	0.07270522952699145	0.3267591077106402	-1.6451643268650145	1.8401690324291282	TSPAN2;APOD;SEPT4
negative regulation of catabolic process (GO:0009895)	3/190	0.07542174460678074	0.3267591077106402	-1.6429465805895438	1.8376884121340826	NRBP2;PLXNB3;BCL2L1
negative regulation of intracellular protein transport (GO:0090317)	2/73	0.055921244900915865	0.3267591077106402	-1.6411170516054776	1.8356420253230912	APOD;LITAF
organophosphate ester transport (GO:0015748)	2/71	0.05330094147074109	0.3267591077106402	-1.6410214032639676	1.835535039587274	ATP8A1;ABCG1
negative regulation of protein kinase activity (GO:0006469)	3/189	0.07451122870607273	0.3267591077106402	-1.6292508992694186	1.822369353586699	DBNDD2;DUSP3;WNK1
inorganic cation transmembrane transport (GO:0098662)	5/440	0.07617139453980643	0.3267591077106402	-1.6260352366675452	1.8187725318941304	FKBP1A;SLC24A2;SLC12A2;CACNB4;KCNA1
anion transport (GO:0006820)	5/443	0.07788910552089079	0.3267591077106402	-1.6077561702417706	1.7983268101937806	SLC12A2;CACNB4;ATP8A1;TTYH2;ABCG1
epidermal growth factor receptor signaling pathway (GO:0007173)	3/193	0.07818308581795735	0.3267591077106402	-1.6076834610222634	1.7982454826011964	GAB1;PRKACB;FGFR2
pyruvate metabolic process (GO:0006090)	2/71	0.05330094147074109	0.3267591077106402	-1.5912038015898529	1.7798124552997305	BPGM;ALDOA
ovulation cycle process (GO:0022602)	2/78	0.06266449030532713	0.3267591077106402	-1.5775900790235877	1.764585070245582	PLEKHA1;BCL2L1
cellular response to insulin stimulus (GO:0032869)	3/195	0.0800485784539986	0.3267591077106402	-1.5662751886218742	1.7519290026524807	RAB31;GAB1;FGFR2
negative regulation of phosphorylation (GO:0042326)	4/325	0.0867404011613003	0.3342446712394877	-1.5972946962518622	1.7504465152100133	DBNDD2;DUSP3;WNK1;LDLRAD4
ERBB signaling pathway (GO:0038127)	3/196	0.08098863473783682	0.3267591077106402	-1.5600599647677806	1.744977075553677	GAB1;PRKACB;FGFR2
cellular response to hormone stimulus (GO:0032870)	5/462	0.08925401588163057	0.3346784536933151	-1.5939235898515325	1.7446849288184922	RAB31;GAB1;PRKACB;ADIPOR2;FGFR2
developmental growth involved in morphogenesis (GO:0060560)	2/79	0.06404500088473017	0.3267591077106402	-1.5579920538872418	1.7426640509505713	SLC12A2;FGFR2
post-embryonic development (GO:0009791)	2/84	0.07109924960271631	0.3267591077106402	-1.539961660190362	1.7224964776682545	PLEKHA1;FGFR2
regulation of smooth muscle cell proliferation (GO:0048660)	2/77	0.06129441311008239	0.3267591077106402	-1.5299046504099068	1.7112473898691674	APOD;FGFR2
regulation of lipid transport (GO:0032368)	2/83	0.06966862588892828	0.3267591077106402	-1.5188427849396975	1.6988743387722198	ABCA2;ABCG1
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	3/190	0.07542174460678074	0.3267591077106402	-1.4994962367830829	1.677234604539688	CLDN11;PTPRD;PCDH9
